club,manager,season,publish_date,video_id,cliche,start_time,segment_text,youtube_link
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,61.76,"school run and uh that's a great motivator to get back to work, mate. Um",https://www.youtube.com/watch?v=IiaPfJzb56s&t=62s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,279.12,"trophies? That could have been my quote, mate.",https://www.youtube.com/watch?v=IiaPfJzb56s&t=279s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,872.0,"Yeah. I mean, you know, I may have to to have a second year here, mate.",https://www.youtube.com/watch?v=IiaPfJzb56s&t=872s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,934.959,"the Premier League. So um but um he's he's a standalone figure, mate. There'll",https://www.youtube.com/watch?v=IiaPfJzb56s&t=935s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,1084.799,Aussie over here. I just wanted to know how did your Melbourne mates take the,https://www.youtube.com/watch?v=IiaPfJzb56s&t=1085s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,1095.679,60th night arranges ages ago to have uh four of my best mates from from Oz. Um,https://www.youtube.com/watch?v=IiaPfJzb56s&t=1096s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,1552.32,"a great preseason and we just weren't prepared and um, in the end ultimately",https://www.youtube.com/watch?v=IiaPfJzb56s&t=1552s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,1622.08,"for him? What's he like? I don't know, mate. I've only met him a",https://www.youtube.com/watch?v=IiaPfJzb56s&t=1622s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-11,IiaPfJzb56s, mate ,1763.039,So I must have done something right. Um and I think that's ultimately that's why,https://www.youtube.com/watch?v=IiaPfJzb56s&t=1763s
Nottingham Forest,Ange Postecoglou,2025/26,2025-09-26,wMFPiaih9Cw, mate ,126.799,"forest career really well? It's easy, mate, because I've got a",https://www.youtube.com/watch?v=wMFPiaih9Cw&t=127s
