club,season,playlist_url,notes
Liverpool,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0dbtNiVYuBiiDfPnQ79FmsN,Livestreams from official channel
Chelsea,2025/25,https://www.youtube.com/playlist?list=PLMAZPiFVim0fmlufIAgwK2tXUcvJLpxBm,Livestreams from official channel
Arsenal,2025/26,https://www.youtube.com/playlist?list=PLvuwbYTkUzHcR-UjcwBisPBjH7W_eTA1k,Club playlist
Tottenham Hotspur,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0dX5LO1P5Y6YBUE9HDYcmT5,Videos from unofficial channels
Everton,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0fAbTUYua9BQzNcXBI0z2pm,Livestreams from official channel
Sunderland,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0fJGkWBP04TnInAGGPzU2LF,Livestreams from official channel
Bournemouth,2025/26,https://www.youtube.com/playlist?list=PLDSAlkBZMWj4jogFcwucFd2N0CBrore9S,Club playlist
Manchester United,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0ePEl08i8lqU-Ae4Nd-O97A,Videos from official channel
Nottingham Forest,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0dqqPM9a5MuuTr1GdyYZWjm,Videos from unofficial channels
Brighton & Hove Albion,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0cjYPNgVdyXBovRnVPpiR8X,Videos from official channel
Leeds United,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0f8IsWI42M-PduXBBHiKAxY,Livestreams from official channel
Manchester City,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0fEt_vgd4AGmSo2raSCuxTd,Livestreams from official channel
Burnley,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0cAJCogyqrxao41HPhlyVVr,Videos from official channel
West Ham United,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0dbz7GYrsuEAGXg3zLv08rX,Livestreams from official channel
Newcastle United,2025/26,https://www.youtube.com/playlist?list=PLb39HY4ZwBVmz_Qilm3TxlQgPAzFRw6H2,Club playlist
Wolverhampton Wanderers,2025/26,https://www.youtube.com/playlist?list=PLMAZPiFVim0c4wHzNyDPPLYgRTgd06nuo,Videos from unofficial channels
Arsenal,2024/25,https://www.youtube.com/playlist?list=PLMAZPiFVim0dV-ix2rA_5xJZNX3Sb7Ovs,Press Conferences
Nottingham Forest,2024/25,https://www.youtube.com/playlist?list=PLMAZPiFVim0fqibOWsnB3V4TGxvr1fKaD,Press Conferences
Wolverhampton Wanderers,2024/25,https://www.youtube.com/playlist?list=PLMAZPiFVim0fx_PhXzkb_oCepPIcT7RNs,Press Conferences
Liverpool,2024/25,https://www.youtube.com/playlist?list=PLR8DItC4f5xsPz67MMsxjQNEekHvgphya,Press Conferences
Newcastle United,2024/25,https://www.youtube.com/playlist?list=PLb39HY4ZwBVkfiBPrstBc9ccg4x79iOyd,Press Conferences
Chelsea,2024/25,https://www.youtube.com/playlist?list=PLx6bGx4zt6EnttH_iwEFB3SJ0xdp8p3NV,Press Conferences
West Ham United,2024/25,https://www.youtube.com/playlist?list=PL6AaXUmbEmKjGbbs9h3hGHXURwm1qExxS,Press Conferences
Manchester City,2024/25,https://www.youtube.com/playlist?list=PLMAZPiFVim0cKexi_KwsR5tctBE7DKrEL,Press Conferences
Bournemouth,2024/25,https://www.youtube.com/playlist?list=PLDSAlkBZMWj5EpkMUX9LWtO-Nv1ioy-1o,Press Conferences
Fulham,2024/25,https://www.youtube.com/playlist?list=PLY8T1xH7hxooV_7h2d4FXmNrURfGDLHfp,Press Conferences
Brighton & Hove Albion,2024/25,https://www.youtube.com/playlist?list=PLU4NF13Grb9GGUVBwdThqpiXJNyxdwsgx,Press Conferences
Crystal Palace,2024/25,https://www.youtube.com/playlist?list=PL18wCAmgRhL--5ovVqK3smztAx4GZvh1k,Press Conferences
Manchester United,2024/25,https://www.youtube.com/playlist?list=PL5-QUghxmluJZsSNEVjck9EEKmvrQvmXz,Press Conferences
Leicester City,2024/25,https://www.youtube.com/playlist?list=PLiuVCXyn6-refPmnSfZQ8miC4FgtEknis,Press Conferences
Southampton,2024/25,https://www.youtube.com/playlist?list=PLM7o8Rfl9FTnU2Th0IlLZnKHvUKPMV6lT,Press Conferences
Everton,2024/25,https://www.youtube.com/playlist?list=PLkB7IpRClaTIcUiMWJcKa3qjpSnOV0cis,Press Conferences
